nombre|artista|duracion
Havana|Camila Cabello|216897
Work from Home (feat. Ty Dolla $ign)|Fifth Harmony|214480
Slide (feat. Frank Ocean & Migos)|Calvin Harris|230813
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"|Justin Timberlake|236002
Faded|Alan Walker|212627
A Long Time|Shannon K|164684
Someone Like You|Adele|285240
Something Just Like This|The Chainsmokers|247627
Shape of You|Ed Sheeran|233713
Swish|Josh Stanley|121482
Hold Up|Beyoncé|221093
Chandelier|Sia|216120
Thraa|Doje|194715
Instant Crush|Daft Punk|337560
Yellow Hearts|Ant Saunders|223258
Sass Cafe|Josh Stanley|160800
Pumped Up Kicks|Foster The People|239600
We Can't Stop|Miley Cyrus|231240
Sweet Dreams|The FifthGuys|210750
All of Me|John Legend|269560
Cry for Me|Camila Cabello|189133
Sweet Nothing (feat. Florence Welch)|Calvin Harris|212560
ANTHEM|Connor Bvrns|161800
Ex's & Oh's|Elle King|202173
Rich Boy|Josh Stanley|170400
Don't Let Me Down|The Chainsmokers|208373
Locked Away|R. City|227480
Happy|ØMG|160320
Sunday Best|Surfaces|158571
Lush Life|Zara Larsson|201122
Over and Done|Joanna Crass|182550
Uptown Funk|Mark Ronson|269667
Beyond the Sky|ØMG|155520
Halo|Beyoncé|261640
Wild Thoughts|DJ Khaled|204664
Girl On Fire|Alicia Keys|224920
Tus Juegos|Pochin Mirkin|181156
Liar|Camila Cabello|207039
Wake Me Up - Radio Edit|Avicii|247427
Rude|MAGIC!|224840
Nothing|Paul Butcher|182426
Just Give Me a Reason (feat. Nate Ruess)|P!nk|242733
Still Don't Know My Name|Labrinth|153294
All About That Bass|Meghan Trainor|187920
Story of My Life|One Direction|245493
New Rules|Dua Lipa|209320
Timber (feat. Ke$ha)|Pitbull|204160
On & On - Mixed|MØ|210559
Dusk Till Dawn - Radio Edit|ZAYN|239000
Impossible|James Arthur|209440
Find U Again (feat. Camila Cabello)|Mark Ronson|176417
Lost|Chris Linton|196129
Run the World (Girls)|Beyoncé|236093
Love Lies (with Normani)|Khalid|201707
Set Fire to the Rain|Adele|242974
Kill My Mind|Louis Tomlinson|220930
PILLOWTALK|ZAYN|202747
TiK ToK|Kesha|199693
New Light|John Mayer|216015
So What|P!nk|215160
Nothing Breaks Like a Heart (feat. Miley Cyrus)|Mark Ronson|217467
The Greatest|Sia|210227
Say Something|A Great Big World|229400
Five More Hours - Deorro x Chris Brown|Deorro|211975
Malibu|Miley Cyrus|231906
I'm the One|DJ Khaled|288877
Hey, Soul Sister|Train|216667
Mirrors|Justin Timberlake|484147
Silence|Marshmello|180823
Better|Khalid|229413
Treat You Better|Shawn Mendes|187973
NO|Meghan Trainor|213507
Radioactive|Imagine Dragons|186813
What About Us|P!nk|271520
Budapest|George Ezra|200720
Cold Water (feat. Justin Bieber & MØ)|Major Lazer|185352
Payphone|Maroon 5|231173
Say You Won't Let Go|James Arthur|211240
Attention|Charlie Puth|211475
Good Thing (with Kehlani)|Zedd|210901
God Is A Dancer|Tiësto|168125
Supalonely|BENEE|223480
Breathe|Herb Barclay|235900
Sad (feat. Afrojack) - SLVR Remix|Chico Rose|163125
Mamma Mia|Tokyo Tav|172810
Coke & Henny Pt. 2|Pink Sweat$|157334
Without No Fear|Urchin|287581
Speechless|Dan + Shay|213387
Dance Monkey|Tones and I|209755
Lose You To Love Me|Selena Gomez|206459
Memories|Maroon 5|189486
Circles|Post Malone|215280
Don't Start Now|Dua Lipa|183290
HIGHEST IN THE ROOM|Travis Scott|175721
Someone You Loved|Lewis Capaldi|182161
Señorita|Shawn Mendes|190800
hot girl bummer|blackbear|185093
RITMO (Bad Boys For Life)|The Black Eyed Peas|221714
Follow God|Kanye West|104591
10,000 Hours (with Justin Bieber)|Dan + Shay|167693
Ride It|Regard|157606
Beautiful People (feat. Khalid)|Ed Sheeran|197867
ROXANNE|Arizona Zervas|163636
Look At Her Now|Selena Gomez|162596
How Do You Sleep?|Sam Smith|202205
Lights Up|Harry Styles|172227
bad guy|Billie Eilish|194088
Bandit (with YoungBoy Never Broke Again)|Juice WRLD|189323
China|Anuel AA|301714
Trampoline (with ZAYN)|SHAED|184280
South of the Border (feat. Camila Cabello & Cardi B)|Ed Sheeran|204467
Liar|Camila Cabello|207039
Goodbyes (Feat. Young Thug)|Post Malone|174960
I Don't Care (with Justin Bieber)|Ed Sheeran|219947
Lalala|Y2K|160627
Sunflower - Spider-Man: Into the Spider-Verse|Post Malone|157560
Hot (Remix) [feat. Gunna and Travis Scott]|Young Thug|279907
Good as Hell (feat. Ariana Grande) - Remix|Lizzo|159011
Adicto (with Anuel AA & Ozuna)|Tainy|270741
Ransom|Lil Tecca|131240
LA CANCIÓN|J Balvin|242573
It's You|Ali Gatie|212607
Graveyard|Halsey|181806
Callaita|Bad Bunny|250534
Panini|Lil Nas X|114893
Bad To You (with Normani & Nicki Minaj)|Ariana Grande|171840
Take What You Want (feat. Ozzy Osbourne & Travis Scott)|Post Malone|229573
Lose Control|MEDUZA|168387
No Me Conoce - Remix|Jhay Cortez|309120
Fantasias|Rauw Alejandro|199711
Takeaway (feat. Lennon Stella)|The Chainsmokers|209893
Loco Contigo (feat. J. Balvin & Tyga)|DJ Snake|185195
223's (feat. 9lokknine)|YNW Melly|176640
Stuck In A Dream (feat. Gunna)|Lil Mosey|123560
Si Te Vas|Sech|204907
Que Tire Pa Lante|Daddy Yankee|210520
Old Town Road - Remix|Lil Nas X|157067
Yo x Ti, Tu x Mi|ROSALÍA|201040
Circles|Post Malone|214907
Dance Monkey|Tones and I|209755
Good Thing (with Kehlani)|Zedd|210901
Trigger|Major Lazer|171987
Nice To Meet Ya|Niall Horan|158805
Make It Right (feat. Lauv)|BTS|226321
Lonely (with Jonas Brothers)|Diplo|139813
Easy|Camila Cabello|194686
Harleys In Hawaii|Katy Perry|185815
Motivation|Normani|193837
Beautiful People (feat. Khalid)|Ed Sheeran|197867
Feelings|Lauv|189613
Bruises|Lewis Capaldi|220492
July|Noah Cyrus|156107
Heartless (feat. Morgan Wallen)|Diplo|169227
Panini|Lil Nas X|114893
I.F.L.Y.|Bazzi|165714
Orphans|Coldplay|197533
What Am I|Why Don't We|184665
Teeth|5 Seconds of Summer|204887
Outnumbered|Dermot Kennedy|245700
Playing Games (with Bryson Tiller) - Extended Version|Summer Walker|143227
No Sleep (feat. Bonn)|Martin Garrix|207095
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")"|Kygo|215316
Piece Of Your Heart|MEDUZA|152913
Better When You're Gone|David Guetta|192402
Obsessed|Dynoro|209933
Mistaken (feat. Alex Aris)|Martin Garrix|282481
Here With Me|Marshmello|156347
Dancin (feat. Luvli) - Krono Remix|Aaron Smith|198053
Bones (feat. OneRepublic)|Galantis|205793
Happy Now|Kygo|211362
All Day And Night - Jax Jones & Martin Solveig Present Europa|Jax Jones|169303
Heaven|Avicii|277262
Who's Got Your Love|Cheat Codes|157000
Happier|Marshmello|214290
Think About You|Kygo|208567
Brave|Don Diablo|184027
High On Life (feat. Bonn)|Martin Garrix|230762
All Around The World (La La La)|R3HAB|147840
Speechless (feat. Erika Sirola)|Robin Schulz|214942
Fire In My Soul|Oliver Heldens|175254
Remember (with ZOHARA)|Gryffin|221693
Electricity (with Dua Lipa)|Silk City|238173
One Touch (with ‪Jess Glynne)|Jess Glynne|197747
No More (feat. Brenda Mullen) - Bottai Edit|Alex Gaudino|200640
So Close|NOTD|190302
Giant (with Rag'n'Bone Man)|Calvin Harris|229184
Cry for Me|Camila Cabello|189133
fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”|Lauv|198973
Love You Like A Love Song|Selena Gomez & The Scene|188453
Right Now|Nick Jonas|201680
Work from Home (feat. Ty Dolla $ign)|Fifth Harmony|214480
Sucker|Jonas Brothers|181027
Sorry Not Sorry|Demi Lovato|203760
None Of My Business|Cher Lloyd|184005
Beautiful Soul|Jesse McCartney|214227
Ready or Not|Bridgit Mendler|200947
All I Ever Need|Austin Mahone|213747
Underwater|Cody Simpson|208960
Slide Away|Miley Cyrus|233654
Too Little Too Late - 2018|JoJo|223533
Feeling So Good|Ashley Tisdale|187160
He Could Be the One|Hannah Montana|180800
"Strut - From ""The Cheetah Girls 2"""|The Cheetah Girls|198360
L.A. Boyz|Victorious Cast|179600
No Air (feat. Chris Brown)|Jordin Sparks|264373
"Flashlight - From ""Pitch Perfect 2"" Soundtrack"|Jessie J|208667
Come Clean|Hilary Duff|214560
Hurts Like Hell (feat. Offset)|Madison Beer|207109
Stronger (What Doesn't Kill You)|Kelly Clarkson|221947
Say OK|Vanessa Hudgens|221867
shut up|Greyson Chance|170364
Boyfriend|Big Time Rush|201040
Secret Love Song (feat. Jason Derulo)|Little Mix|249813
Tonight Tonight|Hot Chelle Rae|200467
Glad You Came|The Wanted|197936
Missing You|The Vamps|214987
Hero|Christopher Wilde|196893
Replay|Zendaya|209187
Stay My Baby|Miranda Cosgrove|185067
Don't Let It Break Your Heart - Single Edit|Louis Tomlinson|196160
Potential Breakup Song|Aly & AJ|219773
Cake By The Ocean|DNCE|219147
TiK ToK|Kesha|199693
Sue Me|Sabrina Carpenter|179227
Live Forever (With Cheat Codes)|Liam Payne|174780
Call Me Maybe|Carly Rae Jepsen|193400
Rare|Selena Gomez|220590
Story of My Life|One Direction|245493
Do It Again|Pia Mia|207747
When I Grow Up|The Pussycat Dolls|245680
Make You Believe|Lucy Hale|211667
Total Eclipse Of The Heart (Glee Cast Version) (feat. Jonathan Groff)|Glee Cast|264493
like that|Bea Miller|185547
Classic|MKTO|175427
Truth Or Dare|Emily Osment|182480
Love Me Less (feat. Quinn XCII)|MAX|177670
Dusk Till Dawn - Radio Edit|ZAYN|239000
Dear No One|Tori Kelly|197847
Complicated|Avril Lavigne|244507
Can I Have This Dance - Original Version|High School Musical Cast|243773
Let Me Go (with Alesso, Florida Georgia Line & watt)|Hailee Steinfeld|174800
Let You Love Me|Rita Ora|191120
I Won't Give Up|Christina Grimmie|209880
Never Really Over|Katy Perry|223523
Out Of Love|Alessia Cara|227693
Easier|5 Seconds of Summer|157493
Higher|The Saturdays|207613
Big Girls Don't Cry (Personal)|Fergie|268120
Crush|David Archuleta|213520
On My Own|Austin Moon|145413
"It's Party Time (From ""Hotel Transylvania 3"")"|Joe Jonas|149158
What A Time (feat. Niall Horan)|Julia Michaels|173307
All About Tonight|Pixie Lott|186173
My Oh My (feat. DaBaby)|Camila Cabello|170746
Toxic|Britney Spears|198800
Me And My Broken Heart|Rixton|193733
What's My Name|China Anne McClain|190720
Demi Lovato Medley|Cimorelli|267153
Phases|PRETTYMUCH|215760
History|Olivia Holt|203992
Outside Looking In|Jordan Pruitt|159467
Up|Olly Murs|224293
Like I'm Gonna Lose You (feat. John Legend)|Meghan Trainor|225053
Yummy|Justin Bieber|210427
Ruin My Life|Zara Larsson|190932
Let's Make This Last 4Ever|Mitchel Musso|192173
Insomnia|Daya|179746
Bleeding Love|Leona Lewis|262467
In My Blood|The Veronicas|200480
No One Compares To You|Jack & Jack|182920
I'm a Mess|Bebe Rexha|195519
Push It to the Limit|Corbin Bleu|196960
Acapella|Karmin|198907
Don't Hold Your Breath|Nicole Scherzinger|197440
So Close|Jennette McCurdy|229240
I Luv U (with R3HAB)|Sofia Carson|150938
Pretty Girl - Cheat Codes X CADE Remix|Maggie Lindemann|193613
A Thousand Years|Christina Perri|285120
Rumors|Lindsay Lohan|196307
Ghost Town|Adam Lambert|208330
Who I Am|Nick Jonas & The Administration|245573
Hate How Much I Love You|Conor Maynard|175898
Swalla (feat. Nicki Minaj & Ty Dolla $ign)|Jason Derulo|216409
Not Your Birthday|Allstar Weekend|205520
Gold|Victoria Justice|193653
Slow Dance|AJ Mitchell|178800
Like I Did|Shane Harper|191087
"Determinate - From ""Lemonade Mouth"""|Adam Hicks|198107
"Take On the World - Theme Song From ""Girl Meets World"""|Rowan Blanchard|192640
Chillin' Like a Villain|Sofia Carson|193792
"Keep It Undercover - Theme Song From ""K.C. Undercover"""|Zendaya|156693
"Time of Our Lives - Main Title Theme From ""I Didn't Do It"""|Olivia Holt|150507
Who Says|Selena Gomez & The Scene|195613
Tell Me Something I Don't Know - Soundtrack|Selena Gomez|201427
Calling All the Monsters|China Anne McClain|206676
Magic|Selena Gomez|169733
Boombox|Laura Marano|196303
Black Magic|Little Mix|211773
Mmm Yeah (feat. Pitbull)|Austin Mahone|231625
La Bella y La Bestia|Bely Basarte|149000
Esperándola sin más|Ignasi Vidal|194533
Por fin ya veo la luz|Carmen López|224227
Cuando mi vida va a comenzar|Carmen López|152333
El Ritmo De La Selva|Fernando García Baró|184920
Pobres almas sin sol|Helen Quiroga|289947
"Parte De Tu Mundo - De ""La Sirenita""/Banda Sonora Original"|María Caneda|192013
Canción del encantamiento|Carmen López|54453
La Bella Y La Bestia|Marta Martorell|163840
Qué hay más allá|María Parrado|163387
Fire|"Matthew ""Mdot"" Finley"|182227
Can't Back Down|Demi Lovato|199907
"It's On - From ""Camp Rock 2: The Final Jam"""|Demi Lovato|243173
Wouldn't Change a Thing|Demi Lovato|205040
Introducing Me|Nick Jonas|187627
This is Our Song|Demi Lovato|178333
We Rock|Cast Of Camp Rock|192160
Play My Music|Jonas Brothers|197463
Gotta Find You|Joe Jonas|241867
This Is Me|Demi Lovato|189173
Here I Am|Renee Sandstrom|225760
What it Takes|Aaryn Doyle|161920
Dynamite|China Anne McClain|162960
Something About the Sunshine|Anna Margaret|187507
Stuck On You|Nick Strand|158467
Down Low|Astrid S|202007
Favorite Part Of Me|Astrid S|198391
Years|Astrid S|190268
Some Say|Nea|175602
All For Love|Tungevaag & Raaban|180485
Boys Like You|Anna Clendening|187349
Slow Dance (feat. Ava Max)|AJ Mitchell|178800
Why Do You Love Me|Charlotte Lawrence|171908
Home with You|Madison Beer|190576
Dear Society|Madison Beer|179577
All Day And Night|Jax Jones|169467
All For Love|Madison Beer|203680
Dead|Madison Beer|194827
Sidelove|Astrid S|172154
everything i wanted|Billie Eilish|245426
Doing To Me|Astrid S|190098
Young And Beautiful|Lana Del Rey|236053
Dance Monkey|Tones and I|209438
The Kids Are Coming|Tones and I|204521
Never Seen The Rain|Tones and I|200742
Johnny Run Away|Tones and I|192346
Jimmy|Tones and I|223620
Say It to My Face|Madison Beer|189695
If The World Was Ending (feat. Julia Michaels)|JP Saxe|208687
Colourblind|Tones and I|206094
Easy|Camila Cabello|194686
Trampoline|SHAED|184280
Liar|Camila Cabello|207039
OK (Anxiety Anthem)|Mabel|216547
Shameless|Camila Cabello|219742
Up All Night|Khalid|157220
Someone New|Astrid S|176618
Ready|Alessia Cara|178747
It's You|Ali Gatie|212607
Feelings|Lauv|189613
Lonely|Noah Cyrus|144387
Jesus In LA|Alec Benjamin|172606
Haloes|Ina Wroldsen|171344
Torn|Ava Max|198006
Salt|Ava Max|180283
Freaking Me Out|Ava Max|192456
Sweet but Psycho|Ava Max|187436
So Am I|Ava Max|183027
My Way|Ava Max|141598
Slow Dance (feat. Ava Max) - Sam Feldt Remix|AJ Mitchell|193548
Takeaway|The Chainsmokers|209880
Before You Go|Lewis Capaldi|215107
fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”|Lauv|198973
Daylight|Matt and Kim|171333
Unwritten|Natasha Bedingfield|259333
I Need Your Love (feat. Ellie Goulding)|Calvin Harris|234507
Burn|Ellie Goulding|231212
Applause|Lady Gaga|212333
Judas|Lady Gaga|249067
Ratchet|DJ White Shadow|241739
Run the World (Girls)|Beyoncé|236093
Wake Me Up|Avicii|247427
Hey Brother|Avicii|255093
Blame|Calvin Harris|212960
Safe And Sound|Capital Cities|192790
Demons|Imagine Dragons|175200
Waves - Robin Schulz Radio Edit|Mr. Probz|208133
This Is Love|will.i.am|279027
Timber (feat. Ke$ha)|Pitbull|204160
Die Young|Kesha|211920
Give Me Everything|Pitbull|252307
Starships|Nicki Minaj|210627
I Took A Pill In Ibiza - Seeb Remix|Mike Posner|197933
Habits (Stay High) - The Chainsmokers Extended Mix|Tove Lo|294253
Pompeii|Bastille|214148
It's Time|Imagine Dragons|237987
Blinding Lights|The Weeknd|201573
DANCE|CLMD|174448
The First One|Astrid S|188650
So High|Ruben|219854
Cry for Me|Camila Cabello|189133
Grip|Seeb|198075
Watermelon Sugar|Harry Styles|174000
Voice of Chunk|The Lounge Lizards|325733
Heaven|The Neighbourhood|205800
Kings of the Mountain|Lonely The Brave|260787
If You Can't Hang|Sleeping With Sirens|250240
If I'm James Dean, You're Audrey Hepburn|Sleeping With Sirens|219107
The Bomb Dot Com V2.0|Sleeping With Sirens|211720
You Kill Me (In a Good Way)|Sleeping With Sirens|222120
Captain Tyin Knots VS Mr Walkway (No Way)|Sleeping With Sirens|202960
In Case of Emergency, Dial 411|Sleeping With Sirens|164453
The Left Side of Everywhere|Sleeping With Sirens|179133
The Consequence|You Me At Six|266947
Underdog|You Me At Six|143080
Playing The Blame Game|You Me At Six|185733
Safer To Hate Her|You Me At Six|198467
Liquid Confidence (Nothing To Lose)|You Me At Six|191653
Hard To Swallow|You Me At Six|204800
There’s No Such Thing As Accidental Infidelity|You Me At Six|226747
Fireworks|You Me At Six|260467
Gossip|You Me At Six|177828
Call That A Comeback|You Me At Six|207267
Jealous Minds Think Alike|You Me At Six|217027
Save It For The Bedroom|You Me At Six|239053
Take Off Your Colours|You Me At Six|197133
You’ve Made Your Bed (So Sleep In It)|You Me At Six|259813
If You Run|You Me At Six|238467
If I Were In Your Shoes|You Me At Six|181333
Always Attract|You Me At Six|366027
The Rumour|You Me At Six|316360
Kiss And Tell|You Me At Six|199754
Finders Keepers|You Me At Six|194280
Sweet Feet|You Me At Six|216347
Loverboy|You Me At Six|197467
Loverboy - Acoustic Version|You Me At Six|186147
Starry Eyed|You Me At Six|149613
Guts|All Time Low|197053
Cheap Shots & Setbacks|AS IT IS|173084
Time-Bomb|All Time Low|209933
That Girl|All Time Low|191960
Weightless|All Time Low|198000
Break Your Little Heart|All Time Low|171707
Damned If I Do Ya (Damned If I Don't)|All Time Low|187027
Lost In Stereo|All Time Low|227467
Sick Little Games|All Time Low|216560
A Party Song (The Walk of Shame)|All Time Low|179173
Therapy|All Time Low|224200
Coffee Shop Soundtrack|All Time Low|181080
Jasey Rae|All Time Low|218280
Running From Lions|All Time Low|180720
Six Feet Under The Stars|All Time Low|216547
Dear Maria, Count Me In|All Time Low|182827
Remembering Sunday|All Time Low|256733
Poppin' Champagne|All Time Low|199987
Give It Up|The Friday Night Boys|223548
You Do, You Don't|The Friday Night Boys|267127
Stupid Love Letter|The Friday Night Boys|176467
She's Finding Me Out|The Friday Night Boys|227493
That's What She Said|The Friday Night Boys|190291
When You See My Friends|Mayday Parade|214573
You're Dead Wrong|Mayday Parade|239120
Call Me Hopeless, but Not Romantic|Mayday Parade|209293
Without the Bitter the Sweet Isn't as Sweet|Mayday Parade|212160
Terrible Things - EP Version|Mayday Parade|238076
Kids in Love|Mayday Parade|216600
Bruised and Scarred|Mayday Parade|203293
If You Can't Live Without Me, Why Aren't You Dead Yet?|Mayday Parade|218133
I Swear This Time I Mean It|Mayday Parade|241107
Warm Me Up|The Audition|212187
Make It Rain|The Audition|190053
You've Made Us Conscious|The Audition|180227
Don't Be So Hard|The Audition|194280
My Temperature Is Rising|The Audition|179667
Love With a Motive|The Audition|177307
Los Angeles|The Audition|205187
The Great Escape|Boys Like Girls|206520
Five Minutes to Midnight|Boys Like Girls|227360
Hero / Heroine|Boys Like Girls|232240
Long Lost Friends|Transit|214160
Voted Most Likely|Man Overboard|171680
Punishment|Man Overboard|172667
Picture Perfect|Man Overboard|184107
Night Feelings|Man Overboard|203733
Montrose|Man Overboard|173480
You Might As Well Be In Space|The Years Gone By|193173
Tear Down The Stars|The Years Gone By|209000
Stay Close|The Years Gone By|178427
Autumn|Sparks The Rescue|208680
We Love Like Vampires|Sparks The Rescue|178373
All the Pretty Girls|fun.|202893
Up All Night|blink-182|199707
I Miss You|blink-182|226905
Down|blink-182|183763
First Date|blink-182|171533
Story Of A Lonely Guy|blink-182|219667
Stay Together For The Kids|blink-182|239440
Roller Coaster|blink-182|167600
What's My Age Again?|blink-182|148573
All The Small Things|blink-182|168000
Dammit|blink-182|165373
There Is|Box Car Racer|196600
1985|Bowling For Soup|193000
Havana (feat. Young Thug)|Camila Cabello|217307
Stitches|Shawn Mendes|206880
Bad Liar|Selena Gomez|214648
Most Girls|Hailee Steinfeld|204400
Swish Swish|Katy Perry|242520
Strip That Down|Liam Payne|204502
Cool for the Summer|Demi Lovato|214740
Sorry|Justin Bieber|200787
Blank Space|Taylor Swift|231827
Treat You Better|Shawn Mendes|187973
Same Old Love|Selena Gomez|229080
thank u, next|Ariana Grande|207320
Dark Horse|Katy Perry|215672
Sit Still, Look Pretty|Daya|202227
Party In The U.S.A.|Miley Cyrus|202067
Chandelier|Sia|216120
The Cure|Lady Gaga|211364
Best Song Ever|One Direction|200107
Slow Hands|Niall Horan|188174
Closer (feat. Halsey)|The Chainsmokers|244960
We Can't Stop|Miley Cyrus|231240
no tears left to cry|Ariana Grande|205920
Girls Like You (feat. Cardi B)|Maroon 5|235545
Chloe (You're the One I Want)|Emblem3|222987
Uptown Funk|Mark Ronson|269667
"How Far I'll Go - From ""Moana"""|Alessia Cara|175517
One Kiss (with Dua Lipa)|Calvin Harris|214847
Pretty Girls|Britney Spears|163960
Body on Me|Rita Ora|225218
Don't Call Me Up|Mabel|178480
A Year Without Rain|Selena Gomez & The Scene|234347
Silence|Marshmello|180823
Wolves|Selena Gomez|197993
Valentine|5 Seconds of Summer|196628
Alive|Krewella|288880
Hey There Delilah|Plain White T's|232533
All of Me|John Legend|269560
One Last Time|Ariana Grande|197267
Say You Won't Let Go|James Arthur|211467
Malibu|Miley Cyrus|231906
Halo|Beyoncé|261640
Umbrella|Rihanna|275987
Pumped Up Kicks|Foster The People|239600
All Star|Smash Mouth|200373
Seventeen|Troye Sivan|218351
Lie To Me (feat. Julia Michaels)|5 Seconds of Summer|149878
On The Floor|Jennifer Lopez|284867
Shut Up and Dance|WALK THE MOON|199080
Honestly|Hot Chelle Rae|201507
Sunflower - Spider-Man: Into the Spider-Verse|Post Malone|158040
Just The Way You Are|Bruno Mars|220733
Bad Day|Daniel Powter|233640
I Want It That Way|Backstreet Boys|213600
Somebody That I Used To Know|Gotye|244885
Take Me to Church|Hozier|241693
Don't Stop The Music|Rihanna|267080
Wake Me Up Before You Go-Go|Wham!|230693
"Let It Go - From ""Frozen""/Soundtrack Version"|Idina Menzel|223840
Sugar|Maroon 5|235493
Animals|Maroon 5|231013
Let It Go - English Version|Idina Menzel|224027
Photograph|Ed Sheeran|258987
Call Me Maybe|Carly Rae Jepsen|193467
Titanium (feat. Sia)|David Guetta|245040
Lights Down Low|MAX|223847
Best Day Of My Life|American Authors|194240
Take Me To Church|Hozier|241688
Lose You To Love Me|Selena Gomez|206459
Wrong Direction|Hailee Steinfeld|248987
Adore You|Harry Styles|207133
7 rings|Ariana Grande|178627
Teeth|5 Seconds of Summer|204887
Without Me|Halsey|201661
2002|Anne-Marie|186987
Bang Bang|Jessie J|199373
You Need To Calm Down|Taylor Swift|171360
Meant to Be (feat. Florida Georgia Line)|Bebe Rexha|164205
Scars To Your Beautiful|Alessia Cara|230227
Woman Like Me (feat. Nicki Minaj)|Little Mix|229720
Because of You|Kelly Clarkson|219493
Strip That Down (feat. Quavo)|Liam Payne|202062
Rewrite The Stars|Zac Efron|217440
Hate Me (with Juice WRLD)|Ellie Goulding|186223
Somebody To You|The Vamps|182827
Pretty Brown Eyes|Cody Simpson|168200
I Like Me Better|Lauv|197437
Something About the Sunshine|Anna Margaret|186773
Who Will I Be|Demi Lovato|187467
Introducing Me|Nick Jonas|187627
Play My Music|Jonas Brothers|197507
Mine|Bazzi|131064
Lovin' So Hard|Becky G|221453
Shower|Becky G|206167
Kiss You|One Direction|182960
Die Young|Kesha|211920
Wannabe|Spice Girls|173027
Live While We're Young|One Direction|200187
Last Friday Night (T.G.I.F.)|Katy Perry|230747
Your Love Is My Drug|Kesha|187133
22|Taylor Swift|231867
Can We Dance|The Vamps|191402
What the Hell|Avril Lavigne|220627
Hair|Little Mix|233827
Domino|Jessie J|231840
Baby|Justin Bieber|214240
Volcanic Love|The Aces|205977
Lightning In A Bottle|The Summer Set|245492
Body Language (feat. Usher & Tinashe)|Kid Ink|206280
No Control|One Direction|199720
Made In The USA|Demi Lovato|196093
Stutter|Marianas Trench|201160
"Stand Out - From ""How to Build a Better Boy"""|Sabrina Carpenter|208827
You'll Always Find Your Way Back Home|Hannah Montana|224187
Round & Round|Selena Gomez & The Scene|186493
Better in Stereo - Theme Song Version|Dove Cameron|152573
Had Me @ Hello|Olivia Holt|189520
"Wildside - From ""Adventures in Babysitting"""|Sabrina Carpenter|187960
Make You Believe|Lucy Hale|211667
Loud|R5|206840
Smile|R5|201533
Cloud 9 - Original TV Movie Soundtrack|Dove Cameron|209067
She's So Gone|Naomi Scott|186453
"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version"|Hannah Montana|174120
Shadows Of The Night|Pat Benatar|261560
Heaven Is a Place on Earth|Belinda Carlisle|246520
I Don't Want It At All|Kim Petras|250616
Hillside Boys|Kim Petras|218178
Phantom|Jessie Paege|208347
There's Nothing Holdin' Me Back|Shawn Mendes|199440
Budapest|George Ezra|200733
broken|lovelytheband|204878
Telephone|Waterparks|153995
Stupid for You|Waterparks|191545
Cough Syrup|Young the Giant|249520
I Think I'm In Love|Kat Dahlia|202667
You should be sad|Halsey|205473
Dealer|Troy Murray|305653
Drip Too Hard (Lil Baby & Gunna)|Lil Baby|145543
Pure Water (with Migos)|Mustard|194520
Break Me Down|L0uie L0u|195736
Make You Mine|L0uie L0u|205296
ZEZE|Kodak Black|228760
So Good|Jae Mazor|216948
Up in There (feat. Rippa da Kid & Troy Murray)|Jae Mazor|207021
Breathe|Jae Mazor|190016
Swervin (feat. 6ix9ine)|A Boogie Wit da Hoodie|189487
All I Got (feat. Jae Mazor & Rippa Da Kid)|Orion Paxx|227308
Better Now|Post Malone|231267
Hustler|Only1Tipy|200699
Thotiana|Blueface|129264
Raw|Rippa da Kid|202633
a lot|21 Savage|288624
I'm Good|Rippa da Kid|152765
Relentless|Fayn|224027
Please Me|Cardi B|200890
Taki Taki (with Selena Gomez, Ozuna & Cardi B)|DJ Snake|212500
How You Want It (feat. Jae Mazor)|Fayn|213395
Look Back at It|A Boogie Wit da Hoodie|179449
SICKO MODE|Travis Scott|312820
Epic|Fayn|245239
Going Bad (feat. Drake)|Meek Mill|180522
Adan y Eva|Paulo Londra|258639
Irresistible|Fall Out Boy|205851
Like A G6|Far East Movement|216893
Thnks fr th Mmrs|Fall Out Boy|203507
Quarter Past Midnight|Bastille|201799
Alone Together|Fall Out Boy|203413
Viva La Vida|Coldplay|242373
The Phoenix|Fall Out Boy|244960
Good Feeling|Flo Rida|248133
Maps|Maroon 5|189960
Thunder|Imagine Dragons|187147
Believer|Imagine Dragons|204347
Holiday|Green Day|232680
Boulevard of Broken Dreams|Green Day|262333
You're Gonna Go Far, Kid|The Offspring|177827
Basket Case|Green Day|181533
Low (feat. T-Pain)|Flo Rida|231400
Dynamite|Taio Cruz|203867
Hooked on a Feeling|Blue Swede|172867
Escape (The Pina Colada Song)|Rupert Holmes|276493
I Don't Care - Single Version|Fall Out Boy|214493
Uma Thurman|Fall Out Boy|211573
Say Amen (Saturday Night)|Panic! At The Disco|189187
Thunder|Imagine Dragons|187147
American Idiot|Green Day|176346
Centuries|Fall Out Boy|228360
Immortals|Fall Out Boy|189387
Youngblood|5 Seconds of Summer|203418
Godzilla|Blue Öyster Cult|221400
Cherry Pie|Warrant|201107
